Date MM/DD/YYYY,Station Number,Depth [meters],Discrete Chlorophyll [mg/m3],Chlorophyll a/a+PHA,Fluorescence [volts],Calculated Chlorophyll [mg/m3],Discrete Oxygen [mg/L],Oxygen Electrode Output [volts],Oxygen Saturation,Calculated Oxygen [mg/L],Discrete SPM [mg/L],Optical Backscatter [volts],Calculated SPM [mg/L],Measured Extinction Coefficient [per meter],Salinity [psu],Temperature [°C],Nitrite [µM],Nitrate + Nitrite [µM],Ammonium [µM],Phosphate [µM],Silicate [µM],Coordinates
2014-01-14,30.0,6,,,0.27,3.3,,8.1,88.0,8,,0.66,24,,30.47,11.15,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,7,,,0.27,3.3,,8.1,88.0,8,,0.67,25,,30.48,11.15,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,8,,,0.27,3.3,,8.1,88.0,8,,0.69,25,,30.47,11.15,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,9,,,0.27,3.3,,8.1,88.0,8,,0.71,26,,30.47,11.16,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,10,,,0.27,3.3,,8.1,88.0,8,,0.72,26,,30.48,11.16,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,11,,,0.27,3.3,,8.1,88.0,8,,0.75,26,,30.48,11.17,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,12,,,0.27,3.3,,8.1,88.0,8,,0.81,28,,30.47,11.17,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,13,2.9,0.71,0.27,3.3,,8.1,88.0,8,28.3,0.78,27,,30.47,11.18,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,29.0,1,,,0.22,2.8,,8,87.0,7.9,,0.51,21,,30.76,11.08,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,2,,,0.22,2.8,,8,87.0,7.9,,0.54,22,,30.76,11.08,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,3,,,0.22,2.8,,8,88.0,7.9,,0.59,23,,30.76,11.1,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,4,,,0.22,2.7,,8,87.0,7.9,,0.67,25,,30.76,11.1,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,5,,,0.22,2.7,,8,88.0,7.9,,0.68,25,,30.76,11.1,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,6,,,0.21,2.7,,8,88.0,7.9,,0.63,24,,30.76,11.1,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,7,,,0.21,2.6,,8,88.0,7.9,,0.58,23,,30.76,11.1,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,8,,,0.21,2.6,,8,88.0,7.9,,0.62,24,,30.77,11.11,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,9,,,0.21,2.7,,8,88.0,7.9,,0.78,27,,30.77,11.12,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,10,,,0.22,2.7,,8,88.0,7.9,,0.89,30,,30.77,11.12,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,11,,,0.23,2.8,,8,88.0,7.9,,0.92,30,,30.77,11.12,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,12,,,0.23,2.9,,8,88.0,7.9,,1.23,37,,30.77,11.12,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,13,,,0.23,2.9,,8,88.0,7.9,,1.24,37,,30.77,11.12,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,14,,,0.24,3,,8,88.0,7.9,,1.32,39,,30.76,11.12,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,29.0,15,,,0.24,3,,8,88.0,7.9,,1.3,39,,30.76,11.12,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-14,28.0,1,,,0.22,2.7,,8,87.0,7.9,,0.51,21,1.37,30.85,10.95,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,2,,,0.22,2.7,,8,87.0,7.9,,0.48,21,,30.85,10.95,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,3,,,0.22,2.7,,8,87.0,7.9,,0.5,21,,30.85,10.96,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,4,,,0.21,2.7,,8,87.0,7.9,,0.54,22,,30.85,10.96,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,5,,,0.21,2.7,,8,88.0,7.9,,0.61,23,,30.85,10.97,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,6,,,0.21,2.6,,8,87.0,7.9,,0.62,24,,30.85,10.97,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,7,,,0.21,2.6,,8,88.0,7.9,,0.57,23,,30.85,10.97,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,8,,,0.21,2.6,,8,88.0,7.9,,0.62,23,,30.85,10.98,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,9,,,0.21,2.6,,8,88.0,7.9,,0.65,24,,30.85,10.98,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,10,,,0.21,2.6,,8,87.0,7.9,,0.71,25,,30.86,10.99,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,11,,,0.22,2.7,,8,87.0,7.9,,0.88,29,,30.86,10.99,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,12,,,0.22,2.8,,8,87.0,7.9,,1.12,35,,30.86,11,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,13,,,0.23,2.9,,8,87.0,7.9,,1.14,35,,30.86,11,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,14,,,0.24,3,,8,87.0,7.9,,1.31,39,,30.86,11,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,28.0,15,,,0.24,3,,8,87.0,7.9,,1.5,43,,30.86,11,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-14,27.0,1,,,0.2,2.6,,8,88.0,8,,0.52,21,1.5,30.85,10.9,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,2,2.4,0.69,0.2,2.6,8,8,88.0,8,20.4,0.53,22,,30.85,10.88,2.5,41.74,10.45,5.6,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,3,,,0.2,2.6,,8,88.0,8,,0.55,22,,30.85,10.9,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,4,,,0.2,2.6,,8,88.0,8,,0.57,22,,30.85,10.9,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,5,,,0.2,2.6,,8,88.0,8,,0.56,22,,30.85,10.89,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,6,,,0.2,2.6,,8.1,88.0,8,,0.53,21,,30.85,10.9,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,7,,,0.2,2.5,,8.1,88.0,8,,0.57,22,,30.85,10.89,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,8,,,0.2,2.5,,8.1,88.0,8,,0.53,22,,30.85,10.9,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,9,,,0.2,2.6,,8.1,88.0,8,,0.58,23,,30.85,10.91,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,10,,,0.21,2.6,,8,88.0,8,,0.64,24,,30.85,10.91,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,11,,,0.22,2.7,,8,88.0,8,,0.72,26,,30.85,10.92,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,12,,,0.23,2.8,,8,88.0,7.9,,0.95,31,,30.85,10.93,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,27.0,13,2.4,0.51,0.23,2.8,,8,87.0,7.9,35.4,1.04,33,,30.85,10.93,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-14,26.0,1,,,0.21,2.6,,8.1,89.0,8.1,,0.63,24,1.61,30.82,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,2,,,0.21,2.6,,8.1,89.0,8.1,,0.61,23,,30.82,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,3,,,0.21,2.7,,8.1,89.0,8.1,,0.6,23,,30.82,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,4,,,0.21,2.7,,8.1,89.0,8.1,,0.6,23,,30.82,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,5,,,0.21,2.6,,8.2,89.0,8.1,,0.61,23,,30.82,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,6,,,0.21,2.6,,8.1,89.0,8.1,,0.65,24,,30.82,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,7,,,0.21,2.7,,8.1,89.0,8.1,,0.71,25,,30.83,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,8,,,0.22,2.7,,8.1,89.0,8.1,,0.82,28,,30.83,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,9,,,0.22,2.7,,8.1,89.0,8.1,,0.82,28,,30.83,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,10,,,0.22,2.8,,8.1,89.0,8.1,,0.82,28,,30.83,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,26.0,11,,,0.22,2.8,,8.2,89.0,8.1,,0.91,30,,30.83,10.96,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-14,25.0,2,,,0.22,2.8,,8.3,91.0,8.2,,0.68,25,1.82,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,3,,,0.23,2.8,,8.3,91.0,8.2,,0.7,25,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,4,,,0.23,2.8,,8.3,91.0,8.2,,0.71,25,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,5,,,0.23,2.8,,8.3,91.0,8.2,,0.71,26,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,6,,,0.23,2.8,,8.3,91.0,8.2,,0.79,27,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,7,,,0.23,2.9,,8.3,91.0,8.2,,0.85,29,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,8,,,0.23,2.9,,8.3,91.0,8.3,,0.85,29,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,9,,,0.23,2.9,,8.3,91.0,8.3,,0.85,29,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,25.0,10,,,0.23,2.9,,8.3,91.0,8.2,,0.92,30,,30.69,10.94,,,,,,"(""37  40.2'"", ""-122 19.5'"")"
2014-01-14,24.0,1,,,0.22,2.8,,8.1,88.0,8,,0.37,18,1.23,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,2,3,0.68,0.22,2.8,,8.1,88.0,8,21.6,0.42,19,,30.51,10.92,1.19,26.82,8.73,3.41,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,3,,,0.22,2.8,,8.1,88.0,8,,0.45,20,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,4,,,0.22,2.8,,8.1,88.0,8,,0.48,20,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,5,,,0.22,2.7,,8.1,88.0,8,,0.49,21,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,6,,,0.21,2.7,,8.1,88.0,8,,0.47,20,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,7,,,0.21,2.7,,8.1,88.0,8,,0.49,21,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,8,,,0.21,2.7,,8.1,88.0,8,,0.52,21,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,9,,,0.21,2.7,,8.1,88.0,8,,0.52,21,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,10,,,0.21,2.7,,8.1,88.0,8,,0.51,21,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,24.0,11,3.1,0.73,0.21,2.7,,8.1,88.0,8,21.2,0.53,22,,30.51,10.92,,,,,,"(""37  41.9'"", ""-122 20.3'"")"
2014-01-14,23.0,1,,,0.21,2.7,,8,87.0,7.9,,0.61,23,1.52,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,2,,,0.21,2.7,,8,87.0,7.9,,0.61,23,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,3,,,0.21,2.7,,8,87.0,7.9,,0.6,23,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,4,,,0.21,2.7,,8,87.0,7.9,,0.61,23,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,5,,,0.21,2.7,,8,87.0,7.9,,0.61,23,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,6,,,0.21,2.6,,8,87.0,7.9,,0.63,24,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,7,,,0.21,2.6,,8,87.0,7.9,,0.62,24,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,8,,,0.2,2.6,,8,87.0,7.9,,0.62,24,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,9,,,0.2,2.5,,8,87.0,7.9,,0.6,23,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,10,,,0.2,2.5,,8,87.0,7.9,,0.61,23,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,11,,,0.2,2.6,,8,87.0,7.9,,0.61,23,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,12,,,0.2,2.6,,8,87.0,7.9,,0.62,24,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,13,,,0.2,2.6,,8,87.0,7.9,,0.67,25,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,14,,,0.2,2.6,,8,87.0,7.9,,0.7,25,,30.58,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,15,,,0.21,2.6,,8,87.0,7.9,,0.73,26,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,16,,,0.21,2.6,,8,87.0,7.9,,0.7,25,,30.59,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,23.0,17,,,0.21,2.6,,8,87.0,7.9,,0.76,27,,30.58,10.93,,,,,,"(""37  43.7'"", ""-122 20.2'"")"
2014-01-14,22.0,1,,,0.19,2.4,,8,87.0,7.9,,0.18,14,0.79,30.78,10.87,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,2,,,0.19,2.4,,8,87.0,7.9,,0.24,15,,31,10.94,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,3,,,0.19,2.4,,8,87.0,7.9,,0.29,16,,31.05,10.95,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,4,,,0.19,2.4,,8,87.0,7.9,,0.29,16,,31.06,10.96,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,5,,,0.19,2.4,,7.9,87.0,7.9,,0.31,17,,31.11,10.97,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,6,,,0.19,2.5,,7.9,87.0,7.9,,0.34,17,,31.17,10.99,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,7,,,0.19,2.5,,7.9,87.0,7.9,,0.36,18,,31.19,11,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,8,,,0.19,2.5,,7.9,87.0,7.8,,0.39,19,,31.25,11.01,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,9,,,0.2,2.5,,7.9,87.0,7.8,,0.41,19,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,10,,,0.19,2.5,,7.9,87.0,7.8,,0.43,19,,31.3,11.02,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,11,,,0.19,2.5,,7.9,87.0,7.8,,0.43,19,,31.28,11.02,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,12,,,0.19,2.5,,7.9,87.0,7.8,,0.42,19,,31.3,11.02,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,13,,,0.2,2.5,,7.8,86.0,7.8,,0.44,20,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,14,,,0.2,2.5,,7.8,86.0,7.8,,0.45,20,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,15,,,0.2,2.5,,7.8,86.0,7.8,,0.45,20,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,16,,,0.2,2.5,,7.9,87.0,7.8,,0.45,20,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,17,,,0.2,2.6,,7.9,87.0,7.8,,0.46,20,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,18,,,0.2,2.5,,7.9,87.0,7.8,,0.45,20,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,19,,,0.2,2.5,,7.9,87.0,7.8,,0.44,20,,31.31,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,20,,,0.2,2.6,,7.9,87.0,7.8,,0.49,21,,31.3,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,22.0,21,,,0.2,2.6,,7.9,87.0,7.8,,0.49,21,,31.3,11.03,,,,,,"(""37  45.9'"", ""-122  21.5'"")"
2014-01-14,21.0,1,,,0.2,2.6,,8,87.0,7.9,,0.24,15,0.81,30.82,10.94,,,,,,"(""37  47.3'"", ""-122 21.5'"")"
2014-01-14,21.0,2,2.8,0.79,0.2,2.6,7.9,8,87.0,7.9,14.8,0.24,15,,30.82,10.94,0.93,20.23,7.44,2.39,,"(""37  47.3'"", ""-122 21.5'"")"
